Ma,possible_cols,total_cols,total_cols_mean,total_cols_sd,total_area,total_area_mean,total_area_sd
1,949,60,39.73,4.101871955,1409154.507,941367.827,166777.855
2,949,81,53.7,5.054251136,1672959.889,1123953.778,155907.6903
3,949,73,48.04,4.784064457,1527406.474,1012091.156,178174.9082
4,949,94,61.49,5.491030335,1636814.842,1066233.26,173183.6654
5,949,94,61.96,5.806509757,1930500.824,1310841.065,205949.9651
6,949,95,62.24,5.949484317,2039230.029,1361241.568,223434.4399
7,949,101,66.49,6.107612405,2069960.452,1383422.382,214673.9258
8,949,93,61.23,5.720519507,1943049.781,1239030.376,199652.765
9,949,91,59.65,5.902190999,2210423.534,1489970.798,232684.8139
10,949,90,59.16,5.773012798,2119196.588,1450119.864,217321.9733
11,949,103,68.35,6.123930539,2158013.249,1491583.832,213991.7327
12,949,105,69.63,6.12933829,2173597.865,1429998.729,231373.4358
13,949,108,70.8,6.427529176,2095928.494,1389379.384,212827.663
14,949,112,74.38,6.026507104,2170297.657,1472441.763,232595.8707
15,949,109,71.17,6.426043916,2012875.873,1332767.974,226055.3639
16,949,108,69.69,6.194971894,1892275.047,1258362.846,215505.9514
17,949,114,73.32,6.386349078,2047568.269,1359817.518,210519.5079
18,949,100,63.82,6.035885949,1935727.461,1275462.619,228456.1707
19,949,100,64.48,5.978885407,1879022.848,1222455.502,221273.7662
20,949,99,63.99,5.758603577,1826726.847,1232182.884,209753.6248
21,949,90,58.48,5.607498587,1796031.557,1190078.34,226852.2777
22,949,102,66.39,6.528716674,2101270.556,1440922.399,243296.4999
23,949,96,63.21,5.981950967,1950069.505,1391467.541,225401.6524
24,949,95,62.68,5.604615702,2013089.322,1620029.537,261133.0861
25,949,98,63.79,5.841846602,2068318.009,1544541.731,246186.39
26,949,96,62.55,5.898767206,2059099.85,1537975.515,252826.155
27,949,85,56.5,4.85652742,2001852.964,1523412.397,217724.8433
28,949,85,56.64,4.941107715,1926738.351,1466073.483,207668.6066
29,949,92,61.09,5.10316796,2196654.472,1624785.951,224414.4256
30,949,86,57.58,4.905531819,2182542.693,1593110.841,213575.606
31,949,86,56.9,4.831504356,2182473.175,1578214.579,211518.0499
32,949,88,58.43,4.981288219,2271340.042,1645264.539,244031.9038
33,949,85,57.37,4.728283691,2008081.935,1493035.695,199423.4295
34,949,96,62.57,5.617891693,2341562.672,1602866.614,216173.5058
35,949,108,71.23,5.986272174,2498618.001,1698585.004,241624.2359
36,949,102,66.91,5.497648717,2310740.14,1573466.894,206009.1932
37,949,106,68.39,5.954193836,2289004.163,1551385.181,216398.1866
38,949,112,72.37,6.442684364,2342519.444,1512451.183,235588.1183
39,949,117,76.85,6.717044504,2368474.259,1544808.735,255002.6999
40,949,117,76.78,6.589829936,2368583.691,1565875.236,239014.2396
41,949,135,88.56,6.878924041,2826333.102,1910109.45,233616.4727
42,949,143,92.95,7.005589399,2971767.807,1917982.641,233485.7119
43,949,133,88.06,6.927940793,2842639.431,1848261.041,237022.3326
44,949,134,88.44,6.988186279,2886924.946,1880906.12,228840.4
45,949,134,88.46,7.009978458,2886924.946,1875210.378,233800.3114
46,949,138,91.37,6.833747216,2927702.089,1903513.334,226228.262
47,949,140,91.39,7.23891699,2907799.585,1894830.538,253957.9499
48,949,133,87.31,7.138874936,2926893.288,1945460.29,253416.772
49,949,134,87.97,7.169597709,2930076.068,1949312.676,253215.0063
50,949,119,78.77,6.001439221,2603870.315,1836650.033,229146.8365
51,949,113,74.79,5.87460723,2508775.345,1748276.809,234432.3538
52,949,113,74.39,6.031725887,2508601.401,1718174.059,227388.92
53,949,113,74.25,6.241559958,2496227.163,1693298.043,215957.4202
54,949,126,82.01,6.803883324,2910720.66,1989611.968,231884.3282
55,949,125,81.53,6.831973257,2878893.334,1986271.058,215879.1257
56,949,124,80.86,6.818009425,2868668.024,1984268.158,218722.1292
57,949,130,85.2,6.834257144,2975092.868,2059687.621,226733.1164
58,949,127,82.41,6.942905688,2812440.662,1954148.628,212794.9711
59,949,121,78.32,6.152736108,2638389.927,1817238.479,215175.8728
60,949,114,73.85,6.072582863,2662296.293,1759666.231,233989.856
61,949,114,73.73,6.045041377,2662296.293,1755713.566,236564.8294
62,949,115,74.82,6.12888508,2765311.072,1829791.214,235682.9162
63,949,112,73.52,6.459633789,2897106.94,1945040.416,240713.9588
64,949,110,71.92,6.344774355,2912371.415,1946741.855,260829.8763
65,949,91,59.6,5.272378951,2284253.511,1507557.112,226186.5609
66,949,83,54.21,4.872713139,2143498.656,1419505.966,229537.5394
67,949,123,79.81,7.052036027,3012122.289,2032947.003,250918.2488
68,949,185,121.77,9.366666667,4689240.656,3139606.538,312755.0301
69,949,182,119.33,9.121021341,4637300.098,3099469.032,308722.2144
70,949,180,118.2,9.034166349,4602021.771,3090471.506,299500.8359
71,949,203,133.83,9.771174883,5349275.533,3588501.141,343524.509
72,949,202,133.02,9.211301798,5305320.539,3592632.152,332027.8746
73,949,205,135.18,9.515940905,5346539.876,3626097.657,338166.6719
74,949,204,135.17,9.590667813,5327671.663,3602059.141,356276.3133
75,949,223,145.88,10.48257814,5727633.668,3774046.877,351826.6834
76,949,229,148.78,11.19124838,5966557.546,3925156.399,369407.3291
77,949,230,149.53,11.18752462,6001718.811,3931326.73,376291.7466
78,949,230,149.06,11.18875698,6001616.844,3888809.616,383653.6405
79,949,230,149.29,11.1891858,6001671.04,3913904.008,373492.5757
80,949,230,149.68,10.90258055,5981778.008,3912137,368628.1602
81,949,239,157.11,10.68170814,6041426.308,4068599.87,360181.1608
82,949,238,156.1,10.58157346,6039996.234,4025799.56,365746.2291
83,949,238,155.81,10.59130099,6039792.299,4001093.923,361443.5126
84,949,238,155.67,10.76850533,6092459.871,4042765.699,370671.9746
85,949,235,153.73,10.72508153,6023606.295,3956826.625,349460.2117
86,949,238,155.24,10.8953887,6152714.797,4056743.997,369614.1422
87,949,221,144.92,9.872602637,5925691.802,3912240.518,341235.6321
88,949,216,141.94,10.0361166,5962581.662,3925253.606,347917.5264
89,949,221,144.84,10.05210667,6066995.974,3976233.035,383475.0059
90,949,207,135.05,9.994316567,5569154.218,3696989.267,368627.0094
91,949,242,157.56,11.19281877,6496181.349,4294872.783,405701.2071
92,949,247,161.08,11.41829119,6617111.688,4382185.318,425737.7803
93,949,244,159.91,12.06639461,6572127.414,4372552.097,427588.019
94,949,243,159.21,11.63006814,6694626.587,4421976.173,401400.1026
95,949,242,158.32,11.75497316,6694783.888,4455758.397,392585.3906
96,949,232,152.78,10.88654067,6188599.252,4270733.429,372439.1137
97,949,222,146.08,10.27272548,6057537.291,4170069.932,365080.1615
98,949,217,141.44,10.33999785,5952865.959,4050210.829,349608.7756
99,949,246,159.8,11.65757221,6492837.404,4391764.22,363396.4742
100,949,241,156.43,11.39045764,6398235.757,4301526.28,355218.1508
101,949,254,165.72,11.92915112,7287333.998,4894988.905,440221.1963
102,949,256,166.82,12.06412161,7334000.711,4933361.517,445264.7748
103,949,266,172.61,12.10967974,7619499.382,5122780.488,430326.1842
104,949,243,158,11.52511531,7185251.674,4772132.945,436180.6455
105,949,242,157.21,11.71918482,7081136.841,4765682.203,455159.9332
106,949,236,153.92,11.03317312,6800080.032,4608455.928,419553.5195
107,949,235,153.66,11.19904397,6787234.332,4600042.701,432160.0568
108,949,235,153.94,11.07807006,6784319.121,4621084.997,442685.3309
109,949,244,160.65,11.33901373,7050815.215,4943889.237,440016.1455
110,949,256,166.97,12.23709793,6970795.196,4702802.423,414155.0018
111,949,252,164.47,12.44012326,6894748.82,4657627.035,423361.3834
112,949,244,159.66,12.0245708,6590787.95,4483585.759,399930.1476
113,949,244,159.13,12.05513847,6589078.846,4426561.094,396146.7167
114,949,208,135.11,10.21673711,5451399.51,3584046.124,375448.6898
115,949,208,135.73,10.09635898,5452135.032,3608890.428,367514.3143
116,949,208,135.5,10.16977101,5427096.406,3617002.57,371533.1123
117,949,172,112.75,8.555670339,4819519.778,3343755.229,370849.6233
118,949,170,111.28,8.681898038,4784681.133,3277093.625,352058.365
119,949,170,111.24,8.657477646,4784681.133,3283903.685,346320.6063
120,949,169,111.02,8.533925169,4692014.585,3244710.202,361371.9296
121,949,169,110.78,8.526346572,4674898.472,3209747.573,371883.7817
122,949,167,109.61,8.40622064,4653700.516,3163863.091,364583.1823
123,949,171,113.05,8.381527307,4510620.14,3076186.584,326048.4859
124,949,170,112.66,8.493871825,4459048.226,3069797.171,339714.5747
125,949,170,112.66,8.493871825,4459048.226,3069797.171,339714.5747
126,949,151,101.58,7.94956323,3771612.428,2657830.401,325022.1924
127,949,142,95.23,7.488516461,3542265.888,2500338.441,315397.5401
128,949,142,95.23,7.488516461,3542265.888,2500338.441,315397.5401
129,949,142,94.6,7.61975105,3672667.145,2569391.342,340365.3205
130,949,136,90.57,7.244998275,3612082.954,2512821.959,335532.6993
131,949,129,86.1,6.691619967,3429942.782,2418316.977,311699.7774
132,949,128,86.02,6.621025585,3360805.657,2426660.404,330777.5225
133,949,128,86.16,6.362325983,3503465.088,2522196.68,306206.7949
134,949,128,86.16,6.362325983,3503465.088,2522196.68,306206.7949
135,949,131,87.99,6.614179748,3416797.595,2453853.227,324921.381
136,949,131,88.19,6.786342494,3416797.595,2472262.496,302654.364
137,949,131,88.21,6.794672601,3416797.595,2468372.443,301821.9275
138,949,131,88.45,6.791817715,3416803.062,2459890.979,302832.8354
139,949,131,88.64,6.670483756,3488682.802,2519058.585,320059.7555
140,949,130,88.06,6.554850159,3263703.497,2389197.949,289280.4241
141,949,130,87.91,6.59980869,3263703.497,2378593.548,294794.6258
142,949,135,91.03,6.687021955,3212473.112,2344906.95,267052.2329
143,949,136,91.63,6.709942871,3245664.039,2365983.401,266285.4753
144,949,140,94.05,6.759019414,3331434.259,2400002.647,255581.9736
145,949,140,94,6.76592771,3329905.789,2391589.356,259769.9201
146,949,150,99.63,7.278937374,3693866.561,2494880.78,286985.3183
147,949,149,98.34,7.631963619,3787359.565,2592267.838,308105.7443
148,949,149,98.47,7.585812116,3787359.565,2589728.475,300167.6833
149,949,149,98.38,7.627409373,3787359.565,2586633.914,302784.5155
150,949,149,98.32,7.630189905,3784373.737,2585706.63,296446.0444
151,949,144,95.61,7.219355297,3625548.615,2502290.99,274548.0007
152,949,144,95.66,7.286655854,3625548.615,2510360.163,282558.2958
153,949,145,96.7,7.380701015,3634057.571,2651902.178,285251.4916
154,949,148,99.37,7.652364789,3799919.603,2784213.499,267770.6877
155,949,148,99.37,7.652364789,3799919.603,2784213.499,267770.6877
156,949,148,99.4,7.626376345,3799919.603,2783565.434,278150.0362
157,949,148,99.03,7.713892754,3782552.187,2810473.301,275988.2929
158,949,166,108.5,8.411752241,4405150.86,2917731.509,276373.8822
159,949,174,113.54,8.658994273,4614812.433,3037325.402,278465.2191
160,949,172,112.02,8.732824413,4585176.43,3028624.546,285439.2987
161,949,168,108.99,8.713735819,4492247.04,2948417.514,287045.7458
162,949,176,115.22,8.948313988,4780719.125,3086879.196,313043.7652
163,949,175,113.83,8.95336402,4775280.027,3069251.44,314870.5398
164,949,157,101.86,8.365417026,4311435.465,2778125.604,279964.6762
165,949,153,99.69,8.056235429,4221254.62,2769133.55,279794.3278
166,949,166,107.55,8.851610594,4557554.667,2971101.733,291617.5078
167,949,140,90.94,7.5969425,3558691.205,2334693.183,230541.5526
168,949,134,87.53,7.234115305,3409698.456,2262864.415,218521.7757
169,949,132,84.96,7.362092368,3293218.652,2154406.353,257754.5573
170,949,128,82.61,7.245890511,3190552.64,2090319.357,252396.3742
171,949,106,68.05,6.143691846,2550507.611,1688327.615,191294.5818
172,949,110,71.32,6.33234442,2532352.641,1684725.486,184654.2814
173,949,109,70.67,6.311853527,2515784.628,1672671.736,183186.7666
174,949,109,70.4,6.51958975,2368911.777,1564776.441,184470.7981
175,949,101,65.25,5.707296411,2264615.922,1493462.071,167225.8128
176,949,101,65.38,5.681406854,2264615.922,1492546.271,168930.2928
177,949,108,69.42,6.216920541,2348674.734,1540632.133,182144.0971
178,949,108,69.42,6.216920541,2348674.734,1540632.133,182144.0971
179,949,108,69.42,6.216920541,2348674.734,1540632.133,182144.0971
180,949,108,69.42,6.216920541,2348674.734,1540632.133,182144.0971
181,949,112,71.84,6.472505955,2451893.047,1608870.266,186918.5925
182,949,112,71.84,6.472505955,2451893.047,1608870.266,186918.5925
183,949,104,66.64,6.17345245,2382152.891,1541254.303,187579.4913
184,949,104,66.64,6.17345245,2382152.891,1541254.303,187579.4913
185,949,94,60.42,5.536253337,2252060.083,1484302.484,175715.8637
186,949,93,59.58,5.388315079,2246964.988,1467098.474,173099.1234
187,949,93,59.58,5.388315079,2246964.988,1467098.474,173099.1234
188,949,93,59.58,5.388315079,2246964.988,1467098.474,173099.1234
189,949,94,60.37,5.359132675,2315520.047,1508183.651,187142.3088
190,949,94,60.37,5.359132675,2315520.047,1508183.651,187142.3088
191,949,93,60.44,5.215206979,2282972.637,1495592.539,191885.1367
192,949,93,60.44,5.215206979,2282972.637,1495592.539,191885.1367
193,949,107,68.75,5.876463927,2482248.307,1610685.953,194568.1214
194,949,109,70.06,5.977770268,2555200.273,1667044.545,198144.9071
195,949,109,70.06,5.977770268,2555200.273,1667044.545,198144.9071
196,949,109,70.06,5.977770268,2555200.273,1667044.545,198144.9071
197,949,109,70.06,5.965930207,2555200.273,1658839.686,199030.0904
198,949,105,68.13,5.631181228,2493210.452,1619436.621,192632.369
199,949,105,68.13,5.631181228,2493210.452,1619436.621,192632.369
200,949,67,43.26,4.22503362,1458136.912,944018.5509,135697.4151
201,949,66,43.02,4.235444475,1471499.774,959438.5554,139085.7753
202,949,75,48.07,4.880915215,1560997.751,1003793.154,147723.7383
203,949,75,48.07,4.880915215,1560997.751,1003793.154,147723.7383
204,949,80,51.73,5.140166644,1636038.086,1062376.818,154814.9563
205,949,80,52.23,5.05496056,1636055.259,1056660.181,153825.0569
206,949,80,52.23,5.05496056,1636055.259,1056660.181,153825.0569
207,949,94,61.47,5.533105143,2013071.298,1306131.066,172062.4399
208,949,94,61.47,5.533105143,2013071.298,1306131.066,172062.4399
209,949,108,70.55,6.050920291,2462103.668,1602392.955,187977.0629
210,949,108,70.55,6.050920291,2462103.668,1602392.955,187977.0629
211,949,107,69.9,5.992419454,2437311.117,1587844.407,186421.6892
212,949,113,73.59,6.315117344,2510590.434,1626008.15,191656.5528
213,949,113,73.42,6.276748821,2510583.154,1623256.555,190202.4704
214,949,144,93.64,7.768779788,3111203.886,2007313.68,207148.1285
215,949,144,93.82,7.826889677,3111203.886,2005556.578,216436.4258
216,949,144,93.82,7.826889677,3111203.886,2005556.578,216436.4258
217,949,144,93.82,7.826889677,3111203.886,2005556.578,216436.4258
218,949,144,93.82,7.826889677,3111203.886,2005556.578,216436.4258
219,949,144,93.82,7.826889677,3111203.886,2005556.578,216436.4258
220,949,144,93.82,7.826889677,3111203.886,2005556.578,216436.4258
221,949,147,95.63,8.087470044,3175694.006,2045425.338,216702.0481
222,949,147,95.63,8.087470044,3175694.006,2045425.338,216702.0481
223,949,144,93.88,7.786650062,3137839.805,2029786.562,212756.8971
224,949,143,93.44,7.690109088,3094892.172,2003250.042,203395.2525
225,949,143,93.44,7.690109088,3094892.172,2003250.042,203395.2525
226,949,144,94.04,7.710572566,3132738.795,2027319.921,204417.1903
227,949,144,94.04,7.710572566,3132738.795,2027319.921,204417.1903
228,949,142,92.63,7.801392002,3106909.484,2023909.676,199187.9704
229,949,142,93.17,7.930321557,3148457.143,2067169.897,213340.3866
230,949,132,86.31,7.080625151,3004347.014,1947741.414,198653.4781
231,949,127,82.76,6.844772391,2911128.102,1897111.007,201458.5659
232,949,127,82.77,6.885580013,2911128.102,1893504.633,201810.9021
233,949,127,82.77,6.885580013,2911128.102,1893504.633,201810.9021
234,949,129,84.06,7.092206564,2928322.863,1893257.163,208201.0946
235,949,133,85.9,7.068924739,2988766.055,1937478.083,205701.9003
236,949,132,85.55,6.840720324,2959337.191,1918354.384,200063.7618
237,949,132,85.55,6.840720324,2959337.191,1918354.384,200063.7618
238,949,124,80.2,6.74349668,2775702.646,1785448.173,179070.3145
239,949,102,65.44,5.850528768,2126039.021,1358670.611,149551.2079
240,949,102,65.44,5.850528768,2126039.021,1358670.611,149551.2079
241,949,96,61.86,5.585008794,2031662.11,1296228.801,155481.9706
242,949,95,61.22,5.531507548,2000442.071,1277666.777,154910.8623
243,949,94,60.75,5.62708996,1986566.521,1273501.906,155126.9167
244,949,93,60.02,6.124928365,2017824.437,1302685.905,177049.9558
245,949,93,60.02,6.124928365,2017824.437,1302685.905,177049.9558
246,949,101,65.28,6.519713695,2239345.655,1453100.058,182202.0011
247,949,100,64.67,6.421326525,2191225.561,1424605.459,180865.9713
248,949,116,75.03,6.693061385,2456468.401,1595283.861,181952.0779
249,949,132,85.09,7.365075929,2840444.043,1843985.446,194284.3787
250,949,126,80.96,7.209589573,2751275.71,1766363.404,196178.8996
251,949,114,73.29,6.70186918,2423595.647,1553501.456,177954.4254
252,949,43,28.93,3.479390984,1129097.394,747753.7065,122142.5404
253,949,46,31.36,3.48885672,1199827.771,790968.645,115620.263
254,949,58,38.21,4.085685779,1526096.961,976476.8688,132175.7981
255,949,55,36.36,3.901618416,1466633.498,932819.3372,130243.5766
256,949,55,36.36,3.901618416,1466633.498,932819.3372,130243.5766
257,949,57,37.76,3.934103674,1516142.763,965906.2043,129655.1162
258,949,62,40.56,4.195524311,1775148.348,1102046.185,164541.2955
259,949,62,40.56,4.195524311,1775148.348,1102046.185,164541.2955
260,949,77,50.84,5.229519939,2115698.94,1347974.567,175175.9991
261,949,79,52.07,5.435117759,2153366.668,1369600.536,181995.7319
262,949,80,52.89,5.189139786,2167999.464,1388236.528,170151.1004
263,949,101,67.02,6.091855799,2667412.601,1735011.003,205992.5456
264,949,103,68.4,6.321360293,2740657.447,1781931.164,213803.9477
265,949,102,67.79,6.321831661,2705058.584,1765995.596,211693.5507
266,949,133,87.62,7.436981032,3188862.239,2105435.784,226442.2502
267,949,135,89.45,7.46084053,3208005.272,2143357.939,234252.7101
268,949,142,93.72,7.735631842,3362787.82,2232027.428,229160.9648
269,949,159,104.47,8.339337231,3747619.122,2484745.085,241878.2678
270,949,183,120.08,8.468217467,4358579.362,2893415.665,260497.6804
271,949,179,117.3,8.28958212,4196216.678,2781793.905,266288.6708
272,949,185,120.98,8.564644261,4297436.152,2848671.833,255062.2992
273,949,180,118.48,8.83688322,4074764.569,2742496.952,247743.3725
274,949,180,118.48,8.83688322,4074764.569,2742496.952,247743.3725
275,949,180,118.69,8.637123305,4004278.182,2712308.369,234025.4745
276,949,179,117.97,8.315076972,3942305.652,2638563.014,200733.497
277,949,179,117.84,8.383148079,3934503.863,2626880.36,207800.786
278,949,179,117.61,8.520794528,3934158.808,2625831.991,204549.3975
279,949,181,119.27,8.516003947,4004257.768,2703086.97,217069.8077
280,949,170,112.09,8.574209626,3727843.071,2528516.965,207432.613
281,949,164,107.89,8.215401894,3592348.254,2416244.796,201425.5274
282,949,162,106.51,8.150720362,3574110.577,2397063.734,204475.4879
283,949,162,106.11,8.113954808,3699516.776,2465274.357,216019.6516
284,949,166,108.88,8.286876567,3785100.104,2525135.625,212493.0414
285,949,169,110.81,8.396361646,3817115.004,2538270.933,204501.2667
286,949,152,100.11,7.449350863,3597786.135,2403932.551,195747.1488
287,949,155,101.18,7.903943524,3592439.294,2377294.207,214070.9847
288,949,157,102.33,8.321876974,3853467.403,2529918.917,253730.0362
289,949,176,114.4,9.546272211,4119741.301,2706915.343,282143.5077
290,949,175,113.85,9.323994245,4104359.643,2700866.865,274514.5234
291,949,188,122.53,9.84881165,4335648.782,2844874.245,277853.3433
292,949,191,124.35,10.10987616,4399700.088,2884898,283049.5807
293,949,192,125.55,9.822027399,4447269.988,2897341.997,266636.179
294,949,201,131.22,10.02781989,4604261.002,3009036.168,282266.6946
295,949,199,130,9.839109757,4541224.542,2968377.505,272041.152
296,949,190,124.16,9.613458579,4360861.379,2859517.219,254035.7034
297,949,180,117.85,9.069178574,4171905.734,2732579.981,246745.7814
298,949,169,110.65,8.560391523,3889350.652,2549014.945,233527.3929
299,949,166,108.98,7.98354368,3644517.089,2398270.656,220860.1717
300,949,168,110.15,8.214762518,3700150.478,2427608.825,224041.7127
301,949,169,110.44,8.001666493,3749908.373,2447077.162,214113.2535
302,949,170,110.8,8.001262527,3762218.684,2456203.269,222654.7696
303,949,187,122.28,8.659764151,4131607.264,2678489.143,225508.2155
304,949,190,124.76,9.115554472,4129698.324,2671800.161,245798.0047
305,949,192,125.06,8.982384557,4236395.712,2759929.301,262331.4579
306,949,196,128.67,9.092182234,4343987.476,2855349.093,272927.1159
307,949,204,133.06,9.109679612,4588698.025,2964870.492,267382.4721
308,949,202,132.6,9.016259163,4552560.268,2998425.655,266842.6378
309,949,201,132.41,8.819279844,4572730.077,3023563.135,265830.1964
310,949,200,130.55,8.774820497,4543332.923,2970520.312,262373.9862
311,949,217,142.76,9.454965026,4871600.55,3221096.062,258087.2867
312,949,218,142.18,9.912118896,4907393.208,3198947.441,270555.1753
313,949,220,142.92,9.983501542,4839784.295,3128541.807,288181.7356
314,949,227,147.99,10.2291868,5003088.883,3229068.283,288508.0983
315,949,227,148.03,10.26266648,5003088.883,3235964.107,289876.3715
316,949,226,147.38,10.22551769,4999042.336,3237918.399,287256.9815
317,949,227,148.45,10.33809763,5005175.671,3246624.107,293659.0976
318,949,227,149.52,10.27154548,4890162.052,3192562.255,266473.3117
319,949,227,149.42,10.22591282,4884656.738,3196351.009,269945.8874
320,949,213,140.38,9.845041822,4547425.956,2985021.352,269081.0543
321,949,183,119.98,8.820293405,4119353.407,2686561.242,263956.4015
322,949,184,121.33,8.757167339,4090141.3,2661163.319,283248.9841
323,949,182,119.23,8.227638811,3863449.267,2551803.659,234446.9211
324,949,168,109.71,7.934447337,3220312.365,2121145.991,183734.7804
325,949,174,113.99,8.138318145,3353905.321,2214353.347,188405.0592
326,949,191,125.46,8.540361689,3739107.173,2463073.401,223206.2349
327,949,220,143.93,9.500935626,4319247.791,2845185.58,234034.3957
328,949,217,142.22,9.842784364,4271277.179,2819586.35,242839.0752
329,949,213,139.72,9.484788459,4207711.099,2792559.034,234124.773
330,949,213,139.86,9.288876806,4207689.551,2779218.093,226599.6499
331,949,213,140.36,9.166826445,4262955.984,2808772.112,227705.633
332,949,207,137.42,9.43149677,4109129.828,2691828.411,232341.5272
333,949,226,151.14,10.43209887,4624632.238,3067274.256,249139.6411
334,949,225,150.76,10.36029718,4580716.263,3053155.909,248563.5486
335,949,234,157.09,10.41569814,4722576.407,3174795.767,247310.1208
336,949,246,162.8,11.4741695,4994463.755,3352253.61,264470.5198
337,949,254,168.16,11.45630257,5155565.37,3460055.807,270158.2221
338,949,264,174.36,11.97347236,5586077.286,3704298.874,293938.4821
339,949,264,174.21,11.83838561,5586077.286,3698359.808,289762.2159
340,949,265,175.45,11.75110139,5601647.593,3722298.8,292449.1172
341,949,273,180.81,12.02748956,5782730.054,3847444.693,318544.3884
342,949,282,189.08,12.00982763,5892017.034,3929529.481,292291.6115
343,949,282,187.59,12.10817822,5954058.925,3930072.534,294349.9218
344,949,286,189.01,11.87518846,6104875.447,4028549.124,290667.5637
345,949,277,183.84,11.40504939,5955057.205,3942308.927,288155.3608
346,949,265,176.16,11.55375666,5557361.053,3712802.613,278909.5428
347,949,265,176.11,11.68776879,5587948.318,3746228.325,295343.3402
348,949,264,175.05,11.71321881,5567027.97,3720552.222,284419.075
349,949,265,176.59,11.35834584,5593838.348,3754874.858,281091.9911
350,949,273,182.04,11.54343576,5785681.788,3890987.6,294208.4952
351,949,272,181.19,11.63302075,5767176.214,3886040.394,306905.9949
352,949,254,168.36,11.44465823,5451975.081,3603445.685,297287.2595
353,949,259,171.98,11.63934463,5563961.891,3664731.34,314013.811
354,949,233,156.39,10.32980878,4799790.405,3209131.687,269133.4253
355,949,233,156.4,10.30151504,4824251.588,3222362.182,261857.957
356,949,223,150.67,9.879122973,4584559.188,3127629.129,240585.4073
357,949,228,152.67,10.23368867,4678749.889,3094466.509,250137.9486
358,949,216,145.64,10.02272166,4498429.223,2936636.712,258346.6092
359,949,217,146.54,9.914197554,4596163.641,3053918.44,255354.8384
360,949,218,147.65,9.869220595,4669208.973,3101945.142,265480.4724
361,949,226,151.41,10.07757286,4568513.578,3048871.269,257296.7484
362,949,221,149.58,9.681994118,4324758.404,2970138.037,249797.5322
363,949,235,156.57,10.47773493,4835327.54,3227608.66,283198.7691
364,949,251,166.92,10.88199328,5447123.243,3600838.869,303104.461
365,949,250,166.23,10.85613451,5435772.265,3593636.733,304594.7052
366,949,248,163.86,10.92769626,5495174.749,3610511.228,297223.4724
367,949,244,162.41,10.54101657,5291144.636,3533433.668,285527.5237
368,949,244,162.83,10.61260447,5289356.943,3540078.282,282185.7531
369,949,249,165.87,10.92643445,5483388.424,3674571.661,285959.1008
370,949,247,164.61,10.9081519,5476902.804,3672622.714,293165.1403
371,949,244,161,11.07184983,5413126.519,3644902.923,294188.0569
372,949,244,161.3,11.11600902,5413244.438,3634073.323,296534.9667
373,949,245,162.85,10.94464954,5438541.277,3698877.3,312685.3554
374,949,250,166.15,11.64142291,5662978.019,3845326.699,344070.2119
375,949,258,171.67,11.50323187,6078037.451,4157813.059,355165.1676
376,949,260,172.62,11.39624251,6125044.424,4181651.535,330373.8743
377,949,260,172.31,11.35621131,6124986.592,4126023.867,343663.1649
378,949,260,171.69,11.51871117,6110060.367,4076735.392,330882.4348
379,949,261,173.35,11.57092752,6176327.009,4133055.442,343690.207
380,949,247,163.33,10.99591752,6220163.345,4150372.567,347552.7473
381,949,239,159.17,10.56777549,6409273.964,4279708.832,374683.9453
382,949,233,153.85,10.46820583,6404422.11,4225619.51,383942.9993
383,949,193,128.24,8.93536838,5203603.36,3442140.556,313276.806
384,949,204,135.08,9.439525754,5884381.024,3913874.236,368942.4671
385,949,200,132.81,9.272196955,5679773.423,3787715.376,356962.0892
386,949,202,135.1,9.330627313,5794761.686,3881728.736,383512.0014
387,949,203,135.93,9.342263044,5252688.736,3577720.557,314105.4085
388,949,215,142.34,9.915012594,5528959.994,3640712.892,352656.7047
389,949,219,146.57,10.12273668,5570030.089,3696728.775,353911.2467
390,949,217,144.29,9.938492661,5576359.879,3706050.072,367544.9868
391,949,217,144.21,9.969949799,5509674.334,3631782.421,368512.9254
392,949,232,156.5,9.857059205,6221168.792,4184810.626,391920.7837
393,949,229,154.04,10.22565599,6161056.345,4141684.121,412538.9405
394,949,224,151.04,10.19399705,5948883.686,4007243.737,397462.2545
395,949,224,151.04,10.19399705,5948883.686,4007243.737,397462.2545
396,949,230,154.91,10.36904387,6270327.274,4189614.568,404932.3494
397,949,213,142.31,10.34329432,5688601.518,3772827.443,373374.6844
398,949,213,142.31,10.34329432,5688601.518,3772827.443,373374.6844
399,949,201,134.31,9.748032695,5280255.505,3501201.064,372656.0121
400,949,201,133.96,9.772069041,5280191.204,3487908.929,373611.7257
401,949,201,134.16,9.770828568,5280526.756,3476979.601,371492.9525
402,949,201,134.16,9.770828568,5280526.756,3476979.601,371492.9525
403,949,201,134.86,9.718273946,5311867.124,3572929.239,381488.9035
404,949,197,132.31,9.543832955,5251323.399,3519092.724,384383.8759
405,949,187,125.13,8.811900814,5305925.909,3439212.187,379813.7618
406,949,184,122.97,8.64736195,5197330.395,3348640.458,369309.0342
407,949,184,122.97,8.64736195,5197330.395,3348640.458,369309.0342
408,949,199,132.48,9.198682383,5361517.847,3468653.457,363162.0873
409,949,195,131.04,8.745469245,4695528.687,3174937.845,340618.2867
410,949,195,131.02,8.742072888,4695528.687,3174518.77,340428.8225
411,949,217,146.69,9.327590224,5084862.825,3459171.365,355437.6042
